[offltest_0_0]
REGRESSION: test_0_0: Lorem ipsum dolor sit amet, v1.8..v1.9-rc1 (None), None, mainline, master, previous: no flags
INITIAL_REPORT: 1546300800, test_0_0: Lorem ipsum dolor sit amet, Regzbot testingmail, nobody@example.com, https://lore.kernel.org/regressions/regzbot-testing-test_0_0@example.com/
ACTIVITY: test_0_0: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_0@example.com/, 1546300800, PatchKind(None)
HISTORY: test_0_0: Lorem ipsum dolor sit amet, 1546300800, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_0@example.com/, introduced: v1.8..v1.9-rc1
LATEST: test_0_0: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_0@example.com/, 1546300800, PatchKind(None)

[offltest_0_1]
REGRESSION: test_0_0: Lorem ipsum dolor sit amet, 4ddd01e474b9 (v1.10-rc1^0), https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?h=master&id=4ddd01e474b98c0273c0fced667588abf78f3783, mainline, master, latest: culprit indentified
INITIAL_REPORT: 1546300800, test_0_0: Lorem ipsum dolor sit amet, Regzbot testingmail, nobody@example.com, https://lore.kernel.org/regressions/regzbot-testing-test_0_0@example.com/
ACTIVITY: test_0_0: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_0@example.com/, 1546300800, PatchKind(None)
ACTIVITY: test_0_1: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_1@example.com/, 1546387200, PatchKind(None)
HISTORY: test_0_0: Lorem ipsum dolor sit amet, 1546300800, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_0@example.com/, introduced: v1.8..v1.9-rc1
HISTORY: test_0_1: Lorem ipsum dolor sit amet, 1546387200, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_1@example.com/, introduced: 4ddd01e474b98c0273c0fced667588abf78f3783
LATEST: test_0_1: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_1@example.com/, 1546387200, PatchKind(None)

[offltest_0_2]
REGRESSION: test_0_0: updated title (set by test_0_2), 4ddd01e474b9 (v1.10-rc1^0), https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?h=master&id=4ddd01e474b98c0273c0fced667588abf78f3783, mainline, master, latest: culprit indentified
INITIAL_REPORT: 1546300800, test_0_0: Lorem ipsum dolor sit amet, Regzbot testingmail, nobody@example.com, https://lore.kernel.org/regressions/regzbot-testing-test_0_0@example.com/
ACTIVITY: test_0_0: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_0@example.com/, 1546300800, PatchKind(None)
ACTIVITY: test_0_1: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_1@example.com/, 1546387200, PatchKind(None)
ACTIVITY: test_0_2: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_2@example.com/, 1546473600, PatchKind(None)
HISTORY: test_0_0: Lorem ipsum dolor sit amet, 1546300800, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_0@example.com/, introduced: v1.8..v1.9-rc1
HISTORY: test_0_1: Lorem ipsum dolor sit amet, 1546387200, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_1@example.com/, introduced: 4ddd01e474b98c0273c0fced667588abf78f3783
HISTORY: test_0_2: Lorem ipsum dolor sit amet, 1546473600, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_2@example.com/, summary: test_0_0: updated title (set by test_0_2)
LATEST: test_0_2: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_2@example.com/, 1546473600, PatchKind(None)

[offltest_0_3]
REGRESSION: test_0_0: updated title (set by test_0_2), 4ddd01e474b9 (v1.10-rc1^0), https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?h=master&id=4ddd01e474b98c0273c0fced667588abf78f3783, mainline, master, latest: culprit indentified
INITIAL_REPORT: 1546300800, test_0_0: Lorem ipsum dolor sit amet, Regzbot testingmail, nobody@example.com, https://lore.kernel.org/regressions/regzbot-testing-test_0_0@example.com/
ADDITIONAL_REPORT: 1546560000, test_0_3: Lorem ipsum dolor sit amet, Regzbot testingmail, nobody@example.com, https://lore.kernel.org/regressions/regzbot-testing-test_0_3@example.com/
ACTIVITY: test_0_0: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_0@example.com/, 1546300800, PatchKind(None)
ACTIVITY: test_0_1: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_1@example.com/, 1546387200, PatchKind(None)
ACTIVITY: test_0_2: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_2@example.com/, 1546473600, PatchKind(None)
HISTORY: test_0_0: Lorem ipsum dolor sit amet, 1546300800, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_0@example.com/, introduced: v1.8..v1.9-rc1
HISTORY: test_0_1: Lorem ipsum dolor sit amet, 1546387200, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_1@example.com/, introduced: 4ddd01e474b98c0273c0fced667588abf78f3783
HISTORY: test_0_2: Lorem ipsum dolor sit amet, 1546473600, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_2@example.com/, summary: test_0_0: updated title (set by test_0_2)
HISTORY: test_0_3_1: Lorem ipsum dolor sit amet, 1546646400, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_3_1@example.com/, duplicate: https://lore.kernel.org/regressions/regzbot-testing-test_0_3@example.com/ [implicit via duplicate]
LATEST: test_0_2: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_2@example.com/, 1546473600, PatchKind(None)
REGRESSION: test_0_3: Lorem ipsum dolor sit amet, v1.8..v1.9-rc1 (None), None, mainline, master, previous: no flags
INITIAL_REPORT: 1546560000, test_0_3: Lorem ipsum dolor sit amet, Regzbot testingmail, nobody@example.com, https://lore.kernel.org/regressions/regzbot-testing-test_0_3@example.com/
SOLVED: None, 1546646400, None, None, None [duplicate of 1]
ACTIVITY: test_0_3: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_3@example.com/, 1546560000, PatchKind(None)
ACTIVITY: test_0_3_1: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_3_1@example.com/, 1546646400, PatchKind(None)
HISTORY: test_0_3: Lorem ipsum dolor sit amet, 1546560000, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_3@example.com/, introduced: v1.8..v1.9-rc1
HISTORY: test_0_3_1: Lorem ipsum dolor sit amet, 1546646400, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_3_1@example.com/, duplicate: https://lore.kernel.org/regressions/regzbot-testing-test_0_0@example.com
LATEST: test_0_3_1: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_3_1@example.com/, 1546646400, PatchKind(None)

[offltest_0_4]
REGRESSION: test_0_0: updated title (set by test_0_2), 4ddd01e474b9 (v1.10-rc1^0), https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?h=master&id=4ddd01e474b98c0273c0fced667588abf78f3783, mainline, master, latest: culprit indentified
INITIAL_REPORT: 1546300800, test_0_0: Lorem ipsum dolor sit amet, Regzbot testingmail, nobody@example.com, https://lore.kernel.org/regressions/regzbot-testing-test_0_0@example.com/
ADDITIONAL_REPORT: 1546560000, test_0_3: Lorem ipsum dolor sit amet, Regzbot testingmail, nobody@example.com, https://lore.kernel.org/regressions/regzbot-testing-test_0_3@example.com/
SOLVED: to_be_fixed, 1546732800, None, https://lore.kernel.org/regressions/regzbot-testing-test_0_4@example.com/, Testcomment to fixed-by
ACTIVITY: test_0_0: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_0@example.com/, 1546300800, PatchKind(None)
ACTIVITY: test_0_1: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_1@example.com/, 1546387200, PatchKind(None)
ACTIVITY: test_0_2: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_2@example.com/, 1546473600, PatchKind(None)
ACTIVITY: test_0_4: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_4@example.com/, 1546732800, PatchKind(None)
HISTORY: test_0_0: Lorem ipsum dolor sit amet, 1546300800, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_0@example.com/, introduced: v1.8..v1.9-rc1
HISTORY: test_0_1: Lorem ipsum dolor sit amet, 1546387200, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_1@example.com/, introduced: 4ddd01e474b98c0273c0fced667588abf78f3783
HISTORY: test_0_2: Lorem ipsum dolor sit amet, 1546473600, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_2@example.com/, summary: test_0_0: updated title (set by test_0_2)
HISTORY: test_0_3_1: Lorem ipsum dolor sit amet, 1546646400, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_3_1@example.com/, duplicate: https://lore.kernel.org/regressions/regzbot-testing-test_0_3@example.com/ [implicit via duplicate]
HISTORY: test_0_4: Lorem ipsum dolor sit amet, 1546732800, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_4@example.com/, fix: 4169881b9e0781b2286dc94e4cb731982c5371aa Testcomment to fixed-by
LATEST: test_0_4: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_4@example.com/, 1546732800, PatchKind(None)
REGRESSION: test_0_3: Lorem ipsum dolor sit amet, v1.8..v1.9-rc1 (None), None, mainline, master, previous: no flags
INITIAL_REPORT: 1546560000, test_0_3: Lorem ipsum dolor sit amet, Regzbot testingmail, nobody@example.com, https://lore.kernel.org/regressions/regzbot-testing-test_0_3@example.com/
SOLVED: None, 1546646400, None, None, None [duplicate of 1]
ACTIVITY: test_0_3: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_3@example.com/, 1546560000, PatchKind(None)
ACTIVITY: test_0_3_1: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_3_1@example.com/, 1546646400, PatchKind(None)
HISTORY: test_0_3: Lorem ipsum dolor sit amet, 1546560000, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_3@example.com/, introduced: v1.8..v1.9-rc1
HISTORY: test_0_3_1: Lorem ipsum dolor sit amet, 1546646400, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_3_1@example.com/, duplicate: https://lore.kernel.org/regressions/regzbot-testing-test_0_0@example.com
LATEST: test_0_3_1: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_3_1@example.com/, 1546646400, PatchKind(None)

[offltest_0_5]
REGRESSION: test_0_0: updated title (set by test_0_2), 4ddd01e474b9 (v1.10-rc1^0), https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?h=master&id=4ddd01e474b98c0273c0fced667588abf78f3783, mainline, master, latest: culprit indentified
INITIAL_REPORT: 1546300800, test_0_0: Lorem ipsum dolor sit amet, Regzbot testingmail, nobody@example.com, https://lore.kernel.org/regressions/regzbot-testing-test_0_0@example.com/
ADDITIONAL_REPORT: 1546560000, test_0_3: Lorem ipsum dolor sit amet, Regzbot testingmail, nobody@example.com, https://lore.kernel.org/regressions/regzbot-testing-test_0_3@example.com/
SOLVED: fixed, 1546819200, v1.10-rc2^0, https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?h=master&id=4169881b9e0781b2286dc94e4cb731982c5371e7, This is a mainline_master commit for testing regzbot, the content doesn't matter.
ACTIVITY: test_0_0: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_0@example.com/, 1546300800, PatchKind(None)
ACTIVITY: test_0_1: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_1@example.com/, 1546387200, PatchKind(None)
ACTIVITY: test_0_2: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_2@example.com/, 1546473600, PatchKind(None)
ACTIVITY: test_0_4: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_4@example.com/, 1546732800, PatchKind(None)
ACTIVITY: test_0_5: Lorem ipsum dolor sit amet, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_5@example.com/, 1546819200, PatchKind(None)
ACTIVITY: 4169881b9e07, the fix specified through '#regzbot fix:' earlier landed in mainline, Regzbot Testing, https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?h=master&id=4169881b9e0781b2286dc94e4cb731982c5371e7, 1546819200, PatchKind(None)
HISTORY: test_0_0: Lorem ipsum dolor sit amet, 1546300800, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_0@example.com/, introduced: v1.8..v1.9-rc1
HISTORY: test_0_1: Lorem ipsum dolor sit amet, 1546387200, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_1@example.com/, introduced: 4ddd01e474b98c0273c0fced667588abf78f3783
HISTORY: test_0_2: Lorem ipsum dolor sit amet, 1546473600, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_2@example.com/, summary: test_0_0: updated title (set by test_0_2)
HISTORY: test_0_3_1: Lorem ipsum dolor sit amet, 1546646400, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_3_1@example.com/, duplicate: https://lore.kernel.org/regressions/regzbot-testing-test_0_3@example.com/ [implicit via duplicate]
HISTORY: test_0_4: Lorem ipsum dolor sit amet, 1546732800, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_4@example.com/, fix: 4169881b9e0781b2286dc94e4cb731982c5371aa Testcomment to fixed-by
HISTORY: This is a mainline_master commit for testing regzbot, the content doesn't matter., 1546819200, Regzbot Testing, https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?h=master&id=4169881b9e0781b2286dc94e4cb731982c5371e7, fixed: 'fix' commit '4169881b9e07' now in 'mainline'
HISTORY: test_0_5: Lorem ipsum dolor sit amet, 1546819200, Regzbot testingmail, https://lore.kernel.org/regressions/regzbot-testing-test_0_5@example.com/, fix: 4169881b9e0781b2286dc94e4cb731982c5371e7
LATEST: 4169881b9e07, the fix specified through '#regzbot fix:' earlier landed in mainline, Regzbot Testing, https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?h=master&id=4169881b9e0781b2286dc94e4cb731982c5371e7, 1546819200, PatchKind(None)
REGRESSION: test_0_3: Lorem ipsum dolor sit amet, v1.8..v1.9-rc1 (None), None, mainline, master, previous: no flags
