[trackertest_0_0]
REGRESSION: issue for regzbot testing, eed892da9cd0 (v6.5-rc1), https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?h=master&id=eed892da9cd0, mainline, master, previous: culprit indentified
INITIAL_REPORT: 1700478630, issue for regzbot testing, Thorsten Leemhuis, knurd42, https://gitlab.com/knurd42/linux/-/issues/11
ACTIVITY: knurd42/linux, issue 11: submission, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, 1700478630, PatchKind(None)
HISTORY: knurd42/linux, issue 11: submission, 1700478630, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, introduced: eed892da9cd0
LATEST: knurd42/linux, issue 11: submission, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, 1700478630, PatchKind(None)

[trackertest_0_1]
REGRESSION: issue for regzbot testing, eed892da9cd0 (v6.5-rc1), https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?h=master&id=eed892da9cd0, mainline, master, previous: culprit indentified
INITIAL_REPORT: 1700478630, issue for regzbot testing, Thorsten Leemhuis, knurd42, https://gitlab.com/knurd42/linux/-/issues/11
ADDITIONAL_REPORT: 1701007025, another issue for regzbot testing, Thorsten Leemhuis, knurd42, https://gitlab.com/knurd42/linux/-/issues/12
ACTIVITY: knurd42/linux, issue 11: submission, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, 1700478630, PatchKind(None)
ACTIVITY: knurd42/linux, issue 11: new comment (#1), Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, 1700480216, PatchKind(None)
HISTORY: knurd42/linux, issue 11: submission, 1700478630, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, introduced: eed892da9cd0
HISTORY: knurd42/linux, issue 11: submission, 1700478630, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, introduced: eed892da9cd0
HISTORY: knurd42/linux, issue 11: new comment (#1), 1700480216, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, duplicate: https://gitlab.com/knurd42/linux/-/issues/12
LATEST: knurd42/linux, issue 11: new comment (#1), Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, 1700480216, PatchKind(None)
REGRESSION: another issue for regzbot testing, eed892da9cd0 (v6.5-rc1), https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?h=master&id=eed892da9cd0, mainline, master, previous: culprit indentified
INITIAL_REPORT: 1701007025, another issue for regzbot testing, Thorsten Leemhuis, knurd42, https://gitlab.com/knurd42/linux/-/issues/12
SOLVED: None, 1700480216, None, None, None [duplicate of 1]
HISTORY: knurd42/linux, issue 11: new comment (#1), 1700480216, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, introduced: eed892da9cd0 [implicit via duplicate]
HISTORY: knurd42/linux, issue 11: new comment (#1), 1700480216, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, duplicate: https://gitlab.com/knurd42/linux/-/issues/11 [implicit via duplicate]

[trackertest_0_2]
REGRESSION: issue for regzbot testing, eed892da9cd0 (v6.5-rc1), https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?h=master&id=eed892da9cd0, mainline, master, previous: culprit indentified
INITIAL_REPORT: 1700478630, issue for regzbot testing, Thorsten Leemhuis, knurd42, https://gitlab.com/knurd42/linux/-/issues/11
ADDITIONAL_REPORT: 1701007025, another issue for regzbot testing, Thorsten Leemhuis, knurd42, https://gitlab.com/knurd42/linux/-/issues/12
ADDITIONAL_REPORT: 1702014594, regzbot testing issue, Thorsten Leemhuis, knurd, https://github.com/knurd/linux/issues/1
ACTIVITY: knurd42/linux, issue 11: submission, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, 1700478630, PatchKind(None)
ACTIVITY: knurd42/linux, issue 11: new comment (#1), Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, 1700480216, PatchKind(None)
ACTIVITY: knurd42/linux, issue 11: new comment (#2), Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, 1700480421, PatchKind(None)
HISTORY: knurd42/linux, issue 11: submission, 1700478630, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, introduced: eed892da9cd0
HISTORY: knurd42/linux, issue 11: submission, 1700478630, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, introduced: eed892da9cd0
HISTORY: knurd42/linux, issue 11: submission, 1700478630, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, introduced: eed892da9cd0
HISTORY: knurd42/linux, issue 11: new comment (#1), 1700480216, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, duplicate: https://gitlab.com/knurd42/linux/-/issues/12
HISTORY: knurd42/linux, issue 11: new comment (#1), 1700480216, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, duplicate: https://gitlab.com/knurd42/linux/-/issues/12
HISTORY: knurd42/linux, issue 11: new comment (#2), 1700480421, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, duplicate: https://github.com/knurd/linux/issues/1
LATEST: knurd42/linux, issue 11: new comment (#2), Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, 1700480421, PatchKind(None)
REGRESSION: another issue for regzbot testing, eed892da9cd0 (v6.5-rc1), https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?h=master&id=eed892da9cd0, mainline, master, previous: culprit indentified
INITIAL_REPORT: 1701007025, another issue for regzbot testing, Thorsten Leemhuis, knurd42, https://gitlab.com/knurd42/linux/-/issues/12
SOLVED: None, 1700480216, None, None, None [duplicate of 1]
HISTORY: knurd42/linux, issue 11: new comment (#1), 1700480216, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, introduced: eed892da9cd0 [implicit via duplicate]
HISTORY: knurd42/linux, issue 11: new comment (#1), 1700480216, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, duplicate: https://gitlab.com/knurd42/linux/-/issues/11 [implicit via duplicate]
HISTORY: knurd42/linux, issue 11: new comment (#1), 1700480216, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, duplicate: https://gitlab.com/knurd42/linux/-/issues/11 [implicit via duplicate]
REGRESSION: regzbot testing issue, eed892da9cd0 (v6.5-rc1), https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?h=master&id=eed892da9cd0, mainline, master, previous: culprit indentified
INITIAL_REPORT: 1702014594, regzbot testing issue, Thorsten Leemhuis, knurd, https://github.com/knurd/linux/issues/1
SOLVED: None, 1700480421, None, None, None [duplicate of 1]
HISTORY: knurd42/linux, issue 11: new comment (#2), 1700480421, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, introduced: eed892da9cd0 [implicit via duplicate]
HISTORY: knurd42/linux, issue 11: new comment (#2), 1700480421, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, duplicate: https://gitlab.com/knurd42/linux/-/issues/11 [implicit via duplicate]

[trackertest_0_3]
REGRESSION: issue for regzbot testing, eed892da9cd0 (v6.5-rc1), https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?h=master&id=eed892da9cd0, mainline, master, previous: culprit indentified
INITIAL_REPORT: 1700478630, issue for regzbot testing, Thorsten Leemhuis, knurd42, https://gitlab.com/knurd42/linux/-/issues/11
SOLVED: None, 1700482983, None, None, None [duplicate of 4]
ACTIVITY: knurd42/linux, issue 11: submission, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, 1700478630, PatchKind(None)
ACTIVITY: knurd42/linux, issue 11: new comment (#1), Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, 1700480216, PatchKind(None)
ACTIVITY: knurd42/linux, issue 11: new comment (#2), Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, 1700480421, PatchKind(None)
ACTIVITY: knurd42/linux, issue 11: new comment (#3), Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, 1700482983, PatchKind(None)
HISTORY: knurd42/linux, issue 11: submission, 1700478630, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, introduced: eed892da9cd0
HISTORY: knurd42/linux, issue 11: submission, 1700478630, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, introduced: eed892da9cd0
HISTORY: knurd42/linux, issue 11: submission, 1700478630, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, introduced: eed892da9cd0
HISTORY: knurd42/linux, issue 11: submission, 1700478630, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, introduced: eed892da9cd0
HISTORY: knurd42/linux, issue 11: new comment (#1), 1700480216, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, duplicate: https://gitlab.com/knurd42/linux/-/issues/12
HISTORY: knurd42/linux, issue 11: new comment (#1), 1700480216, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, duplicate: https://gitlab.com/knurd42/linux/-/issues/12
HISTORY: knurd42/linux, issue 11: new comment (#1), 1700480216, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, duplicate: https://gitlab.com/knurd42/linux/-/issues/12
HISTORY: knurd42/linux, issue 11: new comment (#2), 1700480421, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, duplicate: https://github.com/knurd/linux/issues/1
HISTORY: knurd42/linux, issue 11: new comment (#2), 1700480421, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, duplicate: https://github.com/knurd/linux/issues/1
HISTORY: knurd42/linux, issue 11: new comment (#3), 1700482983, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, duplicate: https://bugzilla.kernel.org/show_bug.cgi?id=212295
LATEST: knurd42/linux, issue 11: new comment (#3), Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, 1700482983, PatchKind(None)
REGRESSION: another issue for regzbot testing, eed892da9cd0 (v6.5-rc1), https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?h=master&id=eed892da9cd0, mainline, master, previous: culprit indentified
INITIAL_REPORT: 1701007025, another issue for regzbot testing, Thorsten Leemhuis, knurd42, https://gitlab.com/knurd42/linux/-/issues/12
SOLVED: None, 1700480216, None, None, None [duplicate of 1]
HISTORY: knurd42/linux, issue 11: new comment (#1), 1700480216, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, introduced: eed892da9cd0 [implicit via duplicate]
HISTORY: knurd42/linux, issue 11: new comment (#1), 1700480216, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, duplicate: https://gitlab.com/knurd42/linux/-/issues/11 [implicit via duplicate]
HISTORY: knurd42/linux, issue 11: new comment (#1), 1700480216, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, duplicate: https://gitlab.com/knurd42/linux/-/issues/11 [implicit via duplicate]
HISTORY: knurd42/linux, issue 11: new comment (#1), 1700480216, Thorsten Leemhuis, https://gitlab.com/knurd42/linux/-/issues/11, duplicate: https://gitlab.com/knurd42/linux/-/issues/11 [implicit via duplicate]
REGRESSION: regzbot testing issue, eed892da9cd0 (v6.5-rc1), https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?h=master&id=eed892da9cd0, mainline, master, previous: culprit indentified
INITIAL_REPORT: 1702014594, regzbot testing issue, Thorsten Leemhuis, knurd, https://github.com/knurd/linux/issues/1
SOLVED: None, 1700480421, None, None, None [duplicate of 1]
